Date;Price;Open;High;Low;Vol,;Change %;;;
01/01/2016;365,5;429;465;353,2;893,30K;-14,81;;0,2016;
01/02/2016;439,2;365,5;451,2;363,3;643,44K;20,15;;-0,0528;
01/03/2016;416;439,2;442,8;389,7;416,35K;-5,27;;0,0736;
01/04/2016;446,6;416;472;412;366,05K;7,35;;0,1883;
01/05/2016;530,7;446,6;567;433;604,03K;18,83;;0,2713;
01/06/2016;674,7;530,7;789,7;530,7;1,68M;27,14;;-0,0756;
01/07/2016;623,7;674,7;707;610,1;657,72K;-7,57;;-0,0314;
01/08/2016;604,1;604,1;604,1;604,1;-;-3,14;;0,0116;
01/09/2016;611,1;576,2;636,2;570,6;129,69K;1,16;;0,1522;
01/10/2016;704,1;611,1;724;607;197,71K;15,22;;0,0057;
01/11/2016;708,1;704,1;753,7;676;136,63K;0,57;;0,3651;
01/12/2016;966,6;739;983;738,8;288,28K;36,5;;-0,0004;
01/01/2017;966,2;966,6;1,166,0;738,7;699,43K;-0,04;;0,2307;
01/02/2017;1.189,10;966,2;1,222,2;936,4;477,67K;23,07;;-0,0903;
01/03/2017;1.081,70;1,189,1;1,328,8;891;1,04M;-9,03;;0,3268;
01/04/2017;1.435,20;1,081,3;1,449,7;1,070,2;422,01K;32,68;;0,5272;
01/05/2017;2.191,80;1,435,0;2,689,0;1,432,0;744,19K;52,72;;0,1044;
01/06/2017;2.420,70;2,191,8;3,000,0;2,050,0;649,18K;10,44;;0,1798;
01/07/2017;2.856,00;2,420,6;2,919,9;1,835,8;942,61K;17,98;;0,6520;
01/08/2017;4.718,20;2,854,3;4,749,9;2,615,8;951,95K;65,2;;-0,0744;
01/09/2017;4.367,00;4,718,3;4,969,0;2,981,0;1,50M;-7,44;;0,4789;
01/10/2017;6.458,30;4,366,6;6,472,1;4,134,9;1,36M;47,89;;0,5340;
01/11/2017;9.907,00;6,450,2;11,427,2;5,426,0;2,12M;53,4;;0,3930;
01/12/2017;13.800,00;9,907,0;19,891,0;9,370,1;2,26M;39,3;;-0,2548;
01/01/2018;10.284,00;13,794,0;17,252,0;9,231,1;1,62M;-25,48;;0,0030;
01/02/2018;10.315,00;10,278,0;11,776,0;6,000,0;1,93M;0,3;;-0,3286;
01/03/2018;6.925,30;10,316,0;11,696,0;6,533,0;1,78M;-32,86;;0,3342;
01/04/2018;9.240,00;6,925,4;9,761,5;6,432,4;1,28M;33,42;;-0,1898;
01/05/2018;7.485,80;9,240,7;9,990,0;7,048,6;820,00K;-18,98;;-0,1462;
01/06/2018;6.391,50;7,485,9;7,777,4;5,762,9;721,71K;-14,62;;0,2095;
01/07/2018;7.730,60;6,617,6;8,500,2;6,080,8;785,16K;20,95;;-0,0912;
01/08/2018;7.025,90;7,731,3;7,755,6;5,879,3;926,33K;-9,12;;-0,0580;
01/09/2018;6.618,10;7,022,9;7,410,3;6,112,7;655,32K;-5,8;;-0,0377;
01/10/2018;6.368,40;6,625,9;7,704,2;6,223,0;412,85K;-3,77;;-0,3659;
01/11/2018;4.038,30;6,374,8;6,607,1;3,663,0;954,42K;-36,59;;-0,0515;
01/12/2018;3.830,50;4,043,6;4,384,0;3,219,2;973,22K;-5,15;;-0,0860;
01/01/2019;3.501,10;3,832,6;4,214,5;3,427,2;438,33K;-8,6;;0,1122;
01/02/2019;3.894,00;3,502,7;4,282,4;3,426,9;376,31K;11,22;;0,0703;
01/03/2019;4.167,60;3,894,0;4,210,0;3,767,4;209,86K;7,03;;0,3436;
01/04/2019;5.599,50;4,167,5;5,647,4;4,127,2;413,61K;34,36;;0,5239;
01/05/2019;8.533,30;5,599,6;9,100,0;5,585,5;501,56K;52,39;;0,2592;
01/06/2019;10.745,00;8,531,9;13,764,0;7,461,0;506,18K;25,92;;-0,0611;
01/07/2019;10.088,00;10,777,0;13,173,0;9,111,0;498,49K;-6,11;;-0,0460;
01/08/2019;9.623,90;10,096,0;12,307,0;9,360,4;267,64K;-4,6;;-0,1343;
01/09/2019;8.331,10;9,623,9;10,933,0;7,753,0;203,49K;-13,43;;0,1026;
01/10/2019;9.185,60;8,331,1;10,464,1;7,341,5;202,42K;10,26;;-0,1726;
01/11/2019;7.599,90;9,185,6;9,621,8;6,619,4;176,81K;-17,26;;-0,0515;
01/12/2019;7.208,30;7,599,9;7,887,7;6,479,4;163,80K;-5,15;;0,2995;
01/01/2020;9.367,40;7,208,2;9,550,0;6,909,3;196,26K;29,95;;-0,0865;
01/02/2020;8.557,30;9,371,3;10,489,0;8,455,2;220,57K;-8,65;;-0,2489;
01/03/2020;6.427,70;8,561,5;9,231,1;4,001,0;653,74K;-24,89;;0,3435;
01/04/2020;8.635,30;6,429,0;9,438,8;6,180,0;311,03K;34,35;;0,0946;
01/05/2020;9.452,10;8,630,8;10,045,0;8,107,4;277,15K;9,46;;-0,0319;
01/06/2020;9.150,60;9,452,1;10,390,0;8,857,3;148,73K;-3,19;;0,2404;
01/07/2020;11.350,00;9,150,6;11,378,0;8,950,2;117,37K;24,04;;0,0283;
01/08/2020;11.671,00;11,350,0;12,415,0;11,032,0;146,79K;2,83;;-0,0751;
01/09/2020;10.794,00;11,671,0;12,037,0;9,964,1;128,34K;-7,51;;0,2774;
01/10/2020;13.788,00;10,795,0;13,958,0;10,476,0;125,27K;27,74;;0,4278;
01/11/2020;19.686,00;13,788,0;19,723,0;13,401,0;284,29K;42,78;;0,4697;
01/12/2020;28.933,00;19,695,0;29,133,0;17,764,0;293,56K;46,97;;0,1454;
01/01/2021;33.141,00;;;;;;;0,1023;Yeidl 1 month
